Committee ID,Committee FEC Name,Associated candidate and district,112th-118th Congress: Number of Life at Conception cosponsorships,Life at Conception 118th Congress cosponsor,Life at Conception 117th Congress cosponsor,Life at Conception 116th Congress cosponsor,Life at Conception 115th Congress cosponsor,Life at Conception 114th Congress cosponsor,Life at Conception 113th Congress cosponsor,Life at Conception 112th Congress cosponsor,Voted against certifying 2020 election,RSC Member,Voted to repeal ACA (American Health Care Act),PACT Act,Mifepristone amicus brief,Election overturn amicus brief,Voted against Bipartisan Infrastructure Law,Voted against the PRO Act,Voted for Tax Cuts and Jobs Act,Voted against Inflation Reduction Act
C00686402,NOOGA PAC,Chuck Fleischmann (TN-03),7,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
C00461822,"CHUCK FLEISCHMANN FOR CONGRESS COMMITTEE, INC.",Chuck Fleischmann (TN-03),7,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
C00687525,NEVER SURRENDER PAC,Mark E. Green (TN-07),3,1,1,1,,,,,1,1,,1,1,1,1,1,,1
C00658385,MARK GREEN FOR CONGRESS,Mark E. Green (TN-07),3,1,1,1,,,,,1,1,,1,1,1,1,1,,1
C00765578,TENNESSEE TOUGH PAC,Diana Harshbarger (TN-01),2,1,1,,,,,,1,1,,,1,,1,1,,1
C00741090,DIANA FOR CONGRESS,Diana Harshbarger (TN-01),2,1,1,,,,,,1,1,,,1,,1,1,,1
C00635219,DAVID PAC DELIVERING AMERICAN VALUES IN DC,David Kustoff (TN-08),4,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1
C00614826,KUSTOFF FOR CONGRESS,David Kustoff (TN-08),4,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1
C00816751,IT MATTERS WHO LEADS PAC,Andy Ogles (TN-05),1,1,,,,,,,,1,,,1,,,,,
C00811844,ANDY OGLES FOR CONGRESS,Andy Ogles (TN-05),1,1,,,,,,,,1,,,1,,,,,
C00528414,HEALTHCARE FREEDOM FUND,David Roe (former TN-01),5,,,1,1,1,1,1,,,1,,,,,,1,
C00444471,CITIZENS TO ELECT PHIL ROE TO CONGRESS,David Roe (former TN-01),5,,,1,1,1,1,1,,,1,,,,,,1,
C00697698,REPUBLICANS OFFERING SOLUTIONS FOR EVERYONE PAC,John Rose (TN-06),3,1,1,1,,,,,1,1,,1,1,1,1,1,,1
C00652743,JOHN ROSE FOR TENNESSEE,John Rose (TN-06),3,1,1,1,,,,,1,1,,1,1,1,1,1,,1
C00672733,BULLDOG PAC,Jodey Arrington (TX-19),4,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1
